170 1734193709 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193710 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193711 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193712 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193713 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193714 0,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193715 0,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193716 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193717 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193718 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193719 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193720 1,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193716 0,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193717 0,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193718 0,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193719 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193720 0,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193721 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193722 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193723 1,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193721 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193722 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193723 0,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193729 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193730 0,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193729 1,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193730 1,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193731 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193732 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193733 0,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193731 1,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193732 1,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193733 1,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193739 1,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193740 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193739 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193740 0,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193741 1,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193742 1,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193743 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193741 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193742 0,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193743 0,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193754 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193755 1,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193754 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193755 1,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193756 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193757 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193758 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193759 2,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193760 2,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193756 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193757 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193758 1,000000 -1,000000 -101,000000 0,000000 0,000000
170 1734193759 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193760 2,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193761 2,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193762 2,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193763 2,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193764 3,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193765 3,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193766 3,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193767 3,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193768 3,000000 -1,000000 -101,000000 0,000000 0,000000
137 1734193774 2,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193775 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193761 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193762 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193763 2,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193764 2,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193765 2,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193766 2,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193767 2,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193768 2,800000 -1,000000 -101,000000 0,000000 0,000000
170 1734193774 3,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193775 3,200000 -1,000000 -101,000000 0,000000 0,000000
